ANO;MES;MONTH_;QUINCENA;TRIMESTRE;MARCA;LINEA;FAMILIA;MODELO;SERVICIO;SEGMENTO;TAMANO;OBJETIVO;OBJECTIVE;TIPO;COMBUSTIBLE;STATUS;NACIONAL_IMPORT;DEPARTAMENTO;CANTIDAD
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;TAXI 7:24;TAXI 7:24;2010;Público;Automóvil;A;Medio;Medium;SEDAN;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;SPARK LOCAL;SPARK;2010;Particular;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Cundinamarca;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;SPARK LOCAL;SPARK;2010;Particular;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Risaralda;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;SPARK LOCAL;SPARK;2010;Particular;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Santander;1
2011;1;MARCH;Primera Quincena;1Q;TOYOTA;COROLLA;COROLLA;2010;Particular;Automóvil;C;Medio;Medium;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;KIA;PICANTO LX;PICANTO;2010;Particular;Automóvil;A;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;SANDERO GT;SANDERO;2010;Particular;Automóvil;B;Bajo;Low;HATCHBACK;;CBU;IMPORTADO;Antioquia;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;H1;H 1;2010;Público;Van;B;Medio;Medium;PASAJEROS;;CBU;IMPORTADO;Cundinamarca;1
2011;1;MARCH;Primera Quincena;1Q;KIA;PICANTO LX;PICANTO;2010;Particular;Automóvil;A;Medio;Medium;HATCHBACK;;CBU;IMPORTADO;Valle del Cauca;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;TWINGO ACCESS;TWINGO;2010;Particular;Automóvil;A;Medio;Medium;COUPE;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;TWINGO ACCESS;TWINGO;2010;Particular;Automóvil;A;Medio;Medium;COUPE;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;TWINGO ACCESS;TWINGO;2010;Particular;Automóvil;A;Medio;Medium;COUPE;;CBU;IMPORTADO;Norte de Santander;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;TWINGO ACCESS;TWINGO;2010;Particular;Automóvil;A;Medio;Medium;COUPE;;CBU;NACIONAL;Antioquia;1
2011;1;MARCH;Primera Quincena;1Q;KIA;EKO TAXI;EKOTAXI;2010;Público;Automóvil;A;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Huila;1
2011;1;MARCH;Primera Quincena;1Q;KIA;RIO RS;;2009;Público;INCONSISTENCIA;;;;;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;KIA;RIO STYLUS LS;STYLUS;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CKD;NACIONAL;Bogota D.C.;1
